id,title,original_title,overview,release_date,popularity,vote_average,vote_count,genre_ids,original_language,adult,poster_path,backdrop_path,category,genre_names,release_year,rating_category,popularity_rank,poster_url,extracted_at
83533,Avatar: Fire and Ash,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",2025-12-17,566.3934,7.386,798,"[878, 12, 14]",en,False,/g96wHxU7EnoIFwemb2RgohIXrgW.jpg,/iN41Ccw4DctL8npfmYg1j5Tr1eb.jpg,"popular,trending","Science Fiction,Adventure,Fantasy",2025,Good,1,https://image.tmdb.org/t/p/w500/g96wHxU7EnoIFwemb2RgohIXrgW.jpg,2025-12-29T10:41:50.536983
1511417,Bāhubali: The Epic,బాహుబలి: ది ఎపిక్,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",2025-10-29,423.4017,7.6,9,"[28, 18]",te,False,/4sLSorDKKDN944kWngxgQlpdDeg.jpg,/j8WzzoAJn5LrKpgFTe1gaQVTj8z.jpg,popular,"Action,Drama",2025,Excellent,2,https://image.tmdb.org/t/p/w500/4sLSorDKKDN944kWngxgQlpdDeg.jpg,2025-12-29T10:41:50.536983
982843,The Great Flood,대홍수,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",2025-09-18,356.2063,6.184,315,"[878, 12, 18]",ko,False,/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,/6iXTBfCzWKlFCmHxu5oaeZ3an9G.jpg,"popular,trending","Science Fiction,Adventure,Drama",2025,Good,5,https://image.tmdb.org/t/p/w500/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,2025-12-29T10:41:50.536983
1084242,Zootopia 2,Zootopia 2,"After cracking the biggest case in Zootopia's history, rookie cops Judy Hopps and Nick Wilde find themselves on the twisting trail of a great mystery when Gary De'Snake arrives and turns the animal metropolis upside down. To crack the case, Judy and Nick must go undercover to unexpected new parts of town, where their growing partnership is tested like never before.",2025-11-26,389.5293,7.6,794,"[16, 35, 12, 10751, 9648]",en,False,/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,/7nfpkR9XsQ1lBNCXSSHxGV7Dkxe.jpg,"popular,trending","Animation,Comedy,Adventure,Family,Mystery",2025,Excellent,3,https://image.tmdb.org/t/p/w500/oJ7g2CifqpStmoYQyaLQgEU32qO.jpg,2025-12-29T10:41:50.536983
1228246,Five Nights at Freddy's 2,Five Nights at Freddy's 2,"One year since the supernatural nightmare at Freddy Fazbear's Pizza, the stories about what transpired there have been twisted into a campy local legend, inspiring the town's first ever Fazfest. With the truth kept from her, Abby sneaks out to reconnect with Freddy, Bonnie, Chica, and Foxy, setting into motion a terrifying series of events that will reveal dark secrets about the real origin of Freddy's, and unleash a decades-hidden horror.",2025-12-03,382.4791,6.888,405,"[27, 53]",en,False,/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,/54BOXpX2ieTXMDzHymdDMnUIzYG.jpg,"popular,trending","Horror,Thriller",2025,Good,4,https://image.tmdb.org/t/p/w500/udAxQEORq2I5wxI97N2TEqdhzBE.jpg,2025-12-29T10:41:50.536983
1512623,Risqué,Risqué,"Fired from a strip club, a vengeful dancer masterminds a high-stakes heist with fellow strippers to take down the corrupt boss and the men who underestimate them.",2025-08-01,283.7352,4.3,5,"[28, 80, 53]",en,False,/h6OsRrDwbspLnKMvlFl57QFDP7d.jpg,/novE5UrqfLIFEMe5QBnjm18GG4E.jpg,popular,"Action,Crime,Thriller",2025,Average,6,https://image.tmdb.org/t/p/w500/h6OsRrDwbspLnKMvlFl57QFDP7d.jpg,2025-12-29T10:41:50.536983
425274,Now You See Me: Now You Don't,Now You See Me: Now You Don't,"The original Four Horsemen reunite with a new generation of illusionists to take on powerful diamond heiress Veronika Vanderberg, who leads a criminal empire built on money laundering and trafficking. The new and old magicians must overcome their differences to work together on their most ambitious heist yet.",2025-11-12,265.7944,6.543,679,"[53, 80, 9648]",en,False,/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,/dHSz0tSFuO2CsXJ1CApSauP9Ncl.jpg,"popular,trending","Thriller,Crime,Mystery",2025,Good,8,https://image.tmdb.org/t/p/w500/oD3Eey4e4Z259XLm3eD3WGcoJAh.jpg,2025-12-29T10:41:50.536983
1439112,Muzzle: City of Wolves,Muzzle: City of Wolves,"LAPD officer Jake Rosser endeavors to lead a peaceful life with his family and retired K-9 officer, Socks. However, tranquility dissolves into chaos when a gang targets them in a brutal attack. Alongside his new K-9 partner Argos, Jake launches into a relentless pursuit of justice, determined to protect his loved ones.",2025-11-13,267.7385,6.889,54,"[28, 53, 9648]",en,False,/8qTMRmC07XCGidnKQFLbRM3FoDU.jpg,/ncI1PlBcANixIkgQSnjsSRz4OyT.jpg,"popular,trending","Action,Thriller,Mystery",2025,Good,7,https://image.tmdb.org/t/p/w500/8qTMRmC07XCGidnKQFLbRM3FoDU.jpg,2025-12-29T10:41:50.536983
1247002,The Old Woman with the Knife,파과,"Aging assassin Hornclaw has seen it all, but she never expected to mentor a reckless rookie like Bullfight. As their unlikely bond deepens, cracks form in the underworld they navigate together. When Hornclaw discovers someone wants her dead, she's thrust into a deadly game of deception. With enemies closing in and trust in short supply, survival means staying sharp—both blade and mind.",2025-04-30,264.2672,6.56,42,"[28, 9648, 18]",ko,False,/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,/fepnF3W4VP3s8ui8nDtrlsFVYwO.jpg,popular,"Action,Mystery,Drama",2025,Good,9,https://image.tmdb.org/t/p/w500/wbmxnsv41vsg5UEaNDlf203dOWw.jpg,2025-12-29T10:41:50.536983
755898,War of the Worlds,War of the Worlds,"Will Radford is a top analyst for Homeland Security who tracks potential threats through a mass surveillance program, until one day an attack by an unknown entity leads him to question whether the government is hiding something from him... and from the rest of the world.",2025-07-29,202.3062,4.24,801,"[878, 53]",en,False,/yvirUYrva23IudARHn3mMGVxWqM.jpg,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,popular,"Science Fiction,Thriller",2025,Average,11,https://image.tmdb.org/t/p/w500/yvirUYrva23IudARHn3mMGVxWqM.jpg,2025-12-29T10:41:50.536983
1223601,Sisu: Road to Revenge,Sisu 2,"Returning to the house where his family was brutally murdered during the war, ‘the man who refuses to die’ dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",2025-10-21,191.548,7.518,339,"[28, 10752]",fi,False,/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,/yCatt8lmp3oRFEcOZF8KHhsiASQ.jpg,"popular,trending","Action,War",2025,Excellent,12,https://image.tmdb.org/t/p/w500/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,2025-12-29T10:41:50.536983
1336189,Delivery Run,Delivery Run,"A food delivery driver gets caught in a deadly chase in the icy Minnesota wilderness, pursued by a crazed snowplow driver for unknown reasons, facing life-threatening situations and forced to outsmart his relentless pursuer alone.",2025-09-10,162.7994,5.5,22,"[28, 53]",en,False,/eCA5maHDlZtXNTtiLXenwnEw7tc.jpg,/hvut2slhhgJ31UNa9Df7jFfAS0x.jpg,popular,"Action,Thriller",2025,Average,14,https://image.tmdb.org/t/p/w500/eCA5maHDlZtXNTtiLXenwnEw7tc.jpg,2025-12-29T10:41:50.536983
1013446,Reflection in a Dead Diamond,Reflet dans un diamant mort,"When the mysterious woman in the room next door disappears, a debonair 70-year-old ex-spy living in a luxury hotel on the Côte d'Azur is confronted by the demons and darlings of a lurid past in which moviemaking, memories and madness collide.",2025-06-25,136.0175,5.95,50,"[28, 53, 9648]",fr,False,/5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg,/AePlQ3osZShJmbNj8tzQ3NoMTQF.jpg,popular,"Action,Thriller,Mystery",2025,Average,18,https://image.tmdb.org/t/p/w500/5CdRxBu7jRDHjthkAL8vE0GdKUD.jpg,2025-12-29T10:41:50.536983
1195518,The Unholy Trinity,The Unholy Trinity,"Set against the turbulent backdrop of 1870s Montana, in the moments before the execution of Isaac Broadway, he gives his estranged son, Henry, an impossible task: murder the man who framed him for a crime he didn’t commit. Intent on fulfilling his promise, Henry travels to the remote town of Trinity, where an unexpected turn of events traps him in town and leaves him caught between Gabriel Dove, the town’s upstanding new sheriff, and a mysterious figure named St. Christopher.",2025-06-13,149.7805,6.2,106,"[37, 12, 80]",en,False,/waU3o5qRPNA9bIC59DIsDppll11.jpg,/hyc9gq0Oq5THKak7tB7oqC2Rd6z.jpg,popular,"Western,Adventure,Crime",2025,Good,15,https://image.tmdb.org/t/p/w500/waU3o5qRPNA9bIC59DIsDppll11.jpg,2025-12-29T10:41:50.536983
1491902,Bang,ปัง,"Follows a ruthless hitman who, after narrowly escaping a fatal attempt on his life, betrays his gang in an effort to find forgiveness but ends up becoming a target himself.",2025-07-11,149.2188,6.5,23,"[28, 53]",th,False,/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,/x3s2lEGNguUnQ5YH3Goq7Ud7Lcn.jpg,popular,"Action,Thriller",2025,Good,16,https://image.tmdb.org/t/p/w500/8SUzKOqe2ectvhYdSnR7Vq2F3n1.jpg,2025-12-29T10:41:50.536983
1419406,The Shadow's Edge,捕风追影,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,2025-08-16,137.8144,6.646,182,"[28, 80, 53]",zh,False,/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"popular,trending","Action,Crime,Thriller",2025,Good,17,https://image.tmdb.org/t/p/w500/e0RU6KpdnrqFxDKlI3NOqN8nHL6.jpg,2025-12-29T10:41:50.536983
76600,Avatar: The Way of Water,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022-12-14,132.808,7.606,13312,"[28, 12, 878]",en,False,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,/cd8YDn7M0lfaHhZdU6MvCDxPalP.jpg,"popular,trending","Action,Adventure,Science Fiction",2022,Excellent,20,https://image.tmdb.org/t/p/w500/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2025-12-29T10:41:50.536983
1196067,Worldbreaker,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",2025-10-30,134.169,5.9,34,"[878, 28]",en,False,/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,/4mZ06VpfpAPuaUPn1SEV0brbbxe.jpg,popular,"Science Fiction,Action",2025,Average,19,https://image.tmdb.org/t/p/w500/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,2025-12-29T10:41:50.536983
1131759,Omniscient Reader: The Prophecy,전지적 독자 시점,"Kim Dok-ja, an ordinary man in his 20s, is the only reader of an obscure web novel titled ""Three Ways to Survive the Apocalypse"". After having read the last chapter, the novel suddenly becomes reality, and its omnipotent hero Yu Jung-hyeok appears before Kim. As the only person who knows how to survive in this world, Kim and his companions strive to save the world by writing his own, new ending.",2025-07-23,236.2393,6.671,38,"[28, 12, 14]",ko,False,/3R3dXO2nm8JyR5NG7SEfii7RzlV.jpg,/fP6L6V42980QmuoyyGXCmWphwpT.jpg,popular,"Action,Adventure,Fantasy",2025,Good,10,https://image.tmdb.org/t/p/w500/3R3dXO2nm8JyR5NG7SEfii7RzlV.jpg,2025-12-29T10:41:50.536983
798645,The Running Man,The Running Man,"Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",2025-11-11,125.7688,6.838,797,"[28, 53, 878]",en,False,/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg,/aHj7d7wSLqrg5cjAcgHhiGr97Ih.jpg,"popular,trending","Action,Thriller,Science Fiction",2025,Good,22,https://image.tmdb.org/t/p/w500/dKL78O9zxczVgjtNcQ9UkbYLzqX.jpg,2025-12-29T10:41:50.536983
812583,Wake Up Dead Man: A Knives Out Mystery,Wake Up Dead Man: A Knives Out Mystery,"When young priest Jud Duplenticy is sent to assist charismatic firebrand Monsignor Jefferson Wicks, it’s clear that all is not well in the pews. After a sudden and seemingly impossible murder rocks the town, the lack of an obvious suspect prompts local police chief Geraldine Scott to join forces with renowned detective Benoit Blanc to unravel a mystery that defies all logic.",2025-11-26,125.5285,7.2,1263,"[53, 9648, 35]",en,False,/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,/fiRDzpcJe7qz3yIR43hdXIE3NHv.jpg,"popular,trending","Thriller,Mystery,Comedy",2025,Good,23,https://image.tmdb.org/t/p/w500/qCOGGi8JBVEZMc3DVby8rUivyXz.jpg,2025-12-29T10:41:50.536983
1242898,Predator: Badlands,Predator: Badlands,"Cast out from his clan, a young Predator finds an unlikely ally in a damaged android and embarks on a treacherous journey in search of the ultimate adversary.",2025-11-05,124.7489,7.3,703,"[28, 878, 12]",en,False,/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg,/ebyxeBh56QNXxSJgTnmz7fXAlwk.jpg,"popular,trending","Action,Science Fiction,Adventure",2025,Good,24,https://image.tmdb.org/t/p/w500/ef2QSeBkrYhAdfsWGXmp0lvH0T1.jpg,2025-12-29T10:41:50.536983
533533,TRON: Ares,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",2025-10-08,127.4451,6.591,836,"[878, 12, 28]",en,False,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,/min9ZUDZbiguTiQ7yz1Hbqk78HT.jpg,"popular,trending","Science Fiction,Adventure,Action",2025,Good,21,https://image.tmdb.org/t/p/w500/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,2025-12-29T10:41:50.536983
19995,Avatar,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",2009-12-16,121.732,7.598,33068,"[28, 12, 14, 878]",en,False,/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,/7JNzw1tSZZEgsBw6lu0VfO2X2Ef.jpg,"popular,trending","Action,Adventure,Fantasy,Science Fiction",2009,Excellent,25,https://image.tmdb.org/t/p/w500/gKY6q7SjCkAU6FqvqWybDYgUKIF.jpg,2025-12-29T10:41:50.536983
1103437,Please Don't Feed the Children,Please Don't Feed the Children,"After a viral outbreak ravaged the country’s adult population, a group of orphans heads south in search of a new life, only to find themselves at the mercy of a deranged woman harboring a dangerous secret.",2025-07-03,118.0062,6.197,38,"[27, 53]",en,False,/GoIIdrjmXo587L2s2mqgMFvBIs.jpg,/laHzfWJNkspyWGZ8wmKEQ8fO07A.jpg,popular,"Horror,Thriller",2025,Good,28,https://image.tmdb.org/t/p/w500/GoIIdrjmXo587L2s2mqgMFvBIs.jpg,2025-12-29T10:41:50.536983
1259102,Eternity,Eternity,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died young and has waited decades for her to arrive.",2025-11-26,118.0375,7.0,173,"[10749, 35, 18, 14]",en,False,/o8pg20G67BGmQvRkXwstNre062J.jpg,/fuacZLpnohQtLD0AhtCErcPVL98.jpg,"popular,trending","Romance,Comedy,Drama,Fantasy",2025,Good,27,https://image.tmdb.org/t/p/w500/o8pg20G67BGmQvRkXwstNre062J.jpg,2025-12-29T10:41:50.536983
1234731,Anaconda,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",2025-12-24,106.8839,6.602,54,"[12, 35, 27]",en,False,/5MDnvvkOqthhE5gQebzkcOhD1p5.jpg,/yo41R39airbREp0PYfG30Ofxtgt.jpg,"popular,trending","Adventure,Comedy,Horror",2025,Good,29,https://image.tmdb.org/t/p/w500/5MDnvvkOqthhE5gQebzkcOhD1p5.jpg,2025-12-29T10:41:50.536983
1387382,Hunting Season,Hunting Season,"When a reclusive survivalist and his daughter rescue a mysterious, wounded woman from a river, they become entangled in a deadly web of violence and revenge, forcing them to confront a brutal criminal to survive.",2025-12-05,104.3025,7.169,77,"[28, 18, 53]",en,False,/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg,/eJ0HooOOD1uzI39CfOQNWIiWKlJ.jpg,popular,"Action,Drama,Thriller",2025,Good,30,https://image.tmdb.org/t/p/w500/cbryTyaWdqrKpQCw6K7zm2jrB5v.jpg,2025-12-29T10:41:50.536983
1137179,Yadang: The Snitch,야당,"Navigating both the criminal underworld and law enforcement agencies, professional snitches called ""yadang"" provide covert information about the drug world to prosecutors and police. When a drug bust at a party attended by high-profile second-generation VIPs entangles those involved into a dangerous conspiracy, a seasoned yadang must do everything in his power not just to make it out on top, but alive.",2025-04-16,165.0666,7.038,26,"[80, 28, 35, 18, 53]",ko,False,/y7dsDbG8zVWkrkyOhA6ckZXX1uC.jpg,/9pdoEzieGdUTlRWTAO7QP8q1tIo.jpg,popular,"Crime,Action,Comedy,Drama,Thriller",2025,Good,13,https://image.tmdb.org/t/p/w500/y7dsDbG8zVWkrkyOhA6ckZXX1uC.jpg,2025-12-29T10:41:50.536983
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",2025-07-18,99.0854,7.643,615,"[16, 28, 14]",ja,False,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"popular,trending","Animation,Action,Fantasy",2025,Excellent,31,https://image.tmdb.org/t/p/w500/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,2025-12-29T10:41:50.536983
1368166,The Housemaid,The Housemaid,"Trying to escape her past, Millie Calloway accepts a job as a live-in housemaid for the wealthy Nina and Andrew Winchester. But what begins as a dream job quickly unravels into something far more dangerous—a sexy, seductive game of secrets, scandal, and power.",2025-12-18,94.1797,7.7,80,"[9648, 53]",en,False,/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,/sK3z0Naed3H1Wuh7a21YRVMxYqt.jpg,"popular,trending","Mystery,Thriller",2025,Excellent,32,https://image.tmdb.org/t/p/w500/cWsBscZzwu5brg9YjNkGewRUvJX.jpg,2025-12-29T10:41:50.536983
1214931,Nuremberg,Nuremberg,"In postwar Germany, an American psychiatrist must determine whether Nazi prisoners are fit to go on trial for war crimes, and finds himself in a complex battle of intellect and ethics with Hermann Göring, Hitler's right-hand man.",2025-11-06,93.7446,7.3,216,"[36, 18]",en,False,/sxu8TsG7k06ymWL98ELEIE1EMZV.jpg,/ajzEWXl1z75Mx6lOj9lToHt5t6Z.jpg,"popular,trending","History,Drama",2025,Good,33,https://image.tmdb.org/t/p/w500/sxu8TsG7k06ymWL98ELEIE1EMZV.jpg,2025-12-29T10:41:50.536983
1015539,Santastein,Santastein,"When Max Causey was six, he accidentally killed Santa. 12 years later, Max rectifies his mistake by resurrecting him, but soon realizes the creature he created is a bloodthirsty killer and it's headed right to his friend's Christmas party.",2024-11-25,86.1422,4.667,7,"[27, 35, 14]",en,False,/ipkIS0Tm4mBvj9iOHHYzzB49JHP.jpg,/atwY0qa1ZK5ZmDR7E943xiYG9a4.jpg,popular,"Horror,Comedy,Fantasy",2024,Average,37,https://image.tmdb.org/t/p/w500/ipkIS0Tm4mBvj9iOHHYzzB49JHP.jpg,2025-12-29T10:41:50.536983
1589891,A Time for Bravery,La hora de los valientes,"A psychoanalyst on community service aids an agent shattered by infidelity; together, they will confront danger and discover second chances.",2025-12-18,89.2641,7.771,48,"[35, 28]",es,False,/qKKG22O5pFxqglG0oMjWTjQWCNl.jpg,/gtuXARxjGdfsGFqEwggBB8zUJza.jpg,"popular,trending","Comedy,Action",2025,Excellent,34,https://image.tmdb.org/t/p/w500/qKKG22O5pFxqglG0oMjWTjQWCNl.jpg,2025-12-29T10:41:50.536983
1218925,Chainsaw Man - The Movie: Reze Arc,劇場版 チェンソーマン レゼ篇,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",2025-09-19,88.3023,8.272,513,"[16, 28, 10749, 14]",ja,False,/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,/kfXgo2rMF1A19celCwLyQ4Xwpf8.jpg,"popular,top_rated,trending","Animation,Action,Romance,Fantasy",2025,Excellent,35,https://image.tmdb.org/t/p/w500/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,2025-12-29T10:41:50.536983
1054867,One Battle After Another,One Battle After Another,"Washed-up revolutionary Bob exists in a state of stoned paranoia, surviving off-grid with his spirited, self-reliant daughter, Willa. When his evil nemesis resurfaces after 16 years and she goes missing, the former radical scrambles to find her, father and daughter both battling the consequences of his past.",2025-09-23,87.6059,7.47,2091,"[53, 80, 28]",en,False,/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,/zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,"popular,trending","Thriller,Crime,Action",2025,Good,36,https://image.tmdb.org/t/p/w500/m1jFoahEbeQXtx4zArT2FKdbNIj.jpg,2025-12-29T10:41:50.536983
